product,category,date,predicted_sales,lower_bound,upper_bound,type,MAE,Error_%
Chemex - Colombian,Dripp Coffee Drinks,10/20/2022,0.560404625,0,7.414832468,category_distribution,3.413892931,67.08523227
Chemex - Colombian,Dripp Coffee Drinks,10/21/2022,0.910911329,0.775415753,9.145884333,category_distribution,3.413892931,67.08523227
Chemex - Colombian,Dripp Coffee Drinks,10/22/2022,0.696608294,0,8.07691945,category_distribution,3.413892931,67.08523227
Chemex - Java,Dripp Coffee Drinks,10/16/2022,0.114061348,0,6.955575594,category_distribution,3.413892931,67.08523227
Chemex - Java,Dripp Coffee Drinks,10/17/2022,0.092258439,0,6.269539733,category_distribution,3.413892931,67.08523227
Chemex - Java,Dripp Coffee Drinks,10/18/2022,0.070458306,0,5.742015026,category_distribution,3.413892931,67.08523227
Chemex - Java,Dripp Coffee Drinks,10/19/2022,0.149093985,0,7.516603503,category_distribution,3.413892931,67.08523227
Chemex - Java,Dripp Coffee Drinks,10/20/2022,0.141969172,0,7.414832468,category_distribution,3.413892931,67.08523227
Chemex - Java,Dripp Coffee Drinks,10/21/2022,0.230764203,0.775415753,9.145884333,category_distribution,3.413892931,67.08523227
Chemex - Java,Dripp Coffee Drinks,10/22/2022,0.176474101,0,8.07691945,category_distribution,3.413892931,67.08523227
Chocolate Crepe,Hot Sweets,10/16/2022,0.900339861,0,14.14978436,category_distribution,10.69046787,65.83152902
Chocolate Crepe,Hot Sweets,10/17/2022,0.600725588,0,11.81706701,category_distribution,10.69046787,65.83152902
Chocolate Crepe,Hot Sweets,10/18/2022,0.923668802,0,13.6568393,category_distribution,10.69046787,65.83152902
Chocolate Crepe,Hot Sweets,10/19/2022,0.879645191,0,13.69568737,category_distribution,10.69046787,65.83152902
Chocolate Crepe,Hot Sweets,10/20/2022,0.971680569,0,14.15172253,category_distribution,10.69046787,65.83152902
Chocolate Crepe,Hot Sweets,10/21/2022,1.978983557,3.622723522,19.63897195,category_distribution,10.69046787,65.83152902
Chocolate Crepe,Hot Sweets,10/22/2022,1.052073715,0,15.10234563,category_distribution,10.69046787,65.83152902
Chocolate Crush,Cold Drinks,10/16/2022,0.479476119,0,14.64728763,category_distribution,3.943324011,40.39931058
Chocolate Crush,Cold Drinks,10/17/2022,0.418145917,0,14.00312011,category_distribution,3.943324011,40.39931058
Chocolate Crush,Cold Drinks,10/18/2022,0.453274613,0,15.34468989,category_distribution,3.943324011,40.39931058
Chocolate Crush,Cold Drinks,10/19/2022,0.538929391,0.875830125,16.37051785,category_distribution,3.943324011,40.39931058
Chocolate Crush,Cold Drinks,10/20/2022,0.615397614,1.834870455,17.49880893,category_distribution,3.943324011,40.39931058
Chocolate Crush,Cold Drinks,10/21/2022,0.635217456,2.568058488,18.28563963,category_distribution,3.943324011,40.39931058
Chocolate Crush,Cold Drinks,10/22/2022,0.562598739,0.905776109,16.58538418,category_distribution,3.943324011,40.39931058
Chocolate French Toast,Hot Sweets,10/16/2022,0.414763307,0,14.14978436,category_distribution,10.69046787,65.83152902
Chocolate French Toast,Hot Sweets,10/17/2022,0.276738754,0,11.81706701,category_distribution,10.69046787,65.83152902
Chocolate French Toast,Hot Sweets,10/18/2022,0.425510347,0,13.6568393,category_distribution,10.69046787,65.83152902
Chocolate French Toast,Hot Sweets,10/19/2022,0.405229807,0,13.69568737,category_distribution,10.69046787,65.83152902
Chocolate French Toast,Hot Sweets,10/20/2022,0.447628127,0,14.15172253,category_distribution,10.69046787,65.83152902
Chocolate French Toast,Hot Sweets,10/21/2022,0.911666583,3.622723522,19.63897195,category_distribution,10.69046787,65.83152902
Chocolate French Toast,Hot Sweets,10/22/2022,0.484663172,0,15.10234563,category_distribution,10.69046787,65.83152902
Chocolate Horn bread,Bakery,10/16/2022,0.061811726,0,8.606133769,category_distribution,6.736333354,66.35360477
Chocolate Horn bread,Bakery,10/17/2022,0.071421482,0,9.035584777,category_distribution,6.736333354,66.35360477
Chocolate Horn bread,Bakery,10/18/2022,0.071470549,0,9.271938936,category_distribution,6.736333354,66.35360477
Chocolate Horn bread,Bakery,10/19/2022,0.069606451,0,8.99773003,category_distribution,6.736333354,66.35360477
Chocolate Horn bread,Bakery,10/20/2022,0.098813734,0,10.69881842,category_distribution,6.736333354,66.35360477
Chocolate Horn bread,Bakery,10/21/2022,0.078783414,0,9.701790889,category_distribution,6.736333354,66.35360477
Chocolate Horn bread,Bakery,10/22/2022,0.086345548,0,9.898608959,category_distribution,6.736333354,66.35360477
Chocolate Mousse,Sweets,10/16/2022,0.048867487,0,18.07429114,category_distribution,16.70617491,68.69555739
Chocolate Mousse,Sweets,10/17/2022,0.038667488,0,16.87794988,category_distribution,16.70617491,68.69555739
